subj	itemID	cond	Acc
S04	i074	UD	1
S04	i075	UD	1
S04	i076	UD	1
S04	i077	RC	1
S04	i078	UC	1
S04	i079	UD	1
S04	i080	RC	1
S04	i081	UD	1
S04	i082	UD	1
S04	i083	RD	1
S04	i084	UC	1
S04	i085	UD	1
S04	i086	UC	1
S04	i087	UD	1
S04	i088	UD	1
S04	i089	RD	1
S04	i090	RC	1
S04	i091	RD	1
S04	i092	RC	1
S04	i093	UC	1
S04	i094	RD	1
S04	i095	RC	1
S04	i096	UC	1
S04	i097	UC	1
S04	i098	RD	1
S04	i099	RD	1
S04	i100	RD	1
S04	i101	UC	1
S04	i102	RC	1
S04	i103	RC	1
S04	i104	RC	1
S04	i105	RC	1
S04	i106	RD	1
S04	i107	UC	1
S04	i108	UC	1
S04	i109	UC	1
S04	i110	RC	1
S04	i111	UD	1
S04	i112	UC	1
S04	i113	UC	1
S04	i114	UC	1
S04	i115	RD	1
S04	i116	RD	1
S04	i117	UC	1
S04	i118	RD	1
S04	i119	UD	1
S04	i120	RC	1
S05	i001	RD	1
S05	i002	UD	1
S05	i003	UC	1
S05	i004	UD	1
S05	i005	UD	1
S05	i006	UC	1
S05	i007	UD	1
S05	i008	RD	1
S05	i009	RC	1
S05	i010	RD	1
S05	i011	UC	1
S05	i012	UD	1
S05	i013	RD	1
S05	i014	RC	1
S05	i015	UC	1
S05	i016	UD	0
S05	i017	UC	1
S05	i018	UD	0
S05	i019	UD	1
S05	i020	RD	1
S05	i021	UC	1
S05	i022	RD	1
S05	i023	UD	1
S05	i024	RC	1
S05	i025	RD	1
S05	i026	UD	1
S05	i027	UD	1
S05	i028	RD	1
S05	i029	UC	1
S05	i030	RC	1
S05	i031	UD	1
S05	i032	UD	1
S05	i033	RD	1
S05	i034	RC	1
S05	i035	RC	0
S05	i036	RC	1
S05	i037	RC	1
S05	i038	RC	1
S05	i039	RC	1
S05	i040	UC	1
S05	i041	RD	1
S05	i042	UC	1
S05	i043	UC	1
S05	i044	RC	1
S05	i045	RD	1
S05	i046	RC	1
S05	i047	UD	1
S05	i048	UC	1
S05	i049	RC	1
S05	i050	RC	1
S05	i051	UC	1
S05	i052	UC	1
S05	i053	RC	1
S05	i054	RD	1
S05	i055	RD	1
S05	i056	RC	1
S05	i057	UD	1
S05	i058	UC	1
S05	i059	UC	1
S05	i060	RC	1
S05	i061	RC	1
S05	i062	RD	1
S05	i063	UC	1
S05	i064	RC	1
S05	i065	UD	1
S05	i066	RD	1
S05	i067	UC	1
S05	i068	UD	1
S05	i069	UC	1
S05	i070	UD	1
S05	i071	UC	1
