S CC TrialNum Contrast TargetType PrimeRelation PrimeShown TargetShown RT score
S1 cc1 195 Clear NW Unr stream BIST 485 C
S1 cc1 196 Degraded NW Unr cough GEENER 593 C
S1 cc1 197 Clear NW Unr bomb HOLKS 552 C
S1 cc1 198 Clear NW Unr saber FOOMS 785 C
S1 cc1 199 Clear NW Unr clue HOMPS 513 C
S1 cc1 200 Clear LF Rel dump GARBAGE 555 C
S1 cc1 201 Degraded LF Unr thaw BLADE 645 C
S1 cc1 202 Degraded LF Rel pigeon BIRD 473 C
S1 cc1 203 Degraded HF Unr routine MAKE 613 C
S1 cc1 204 Clear NW Unr place VELLS 508 C
S1 cc1 205 Clear NW Unr kind GLEDER 487 C
S1 cc1 206 Degraded NW Unr eternal PREPERN 626 C
S1 cc1 207 Clear HF Unr frost HORSE 568 C
S1 cc1 208 Clear LF Rel hope GLORY 481 C
S1 cc1 209 Clear NW Unr movie WOILY 556 C
S1 cc1 210 Degraded HF Rel blaze FIRE 677 C
S1 cc1 211 Degraded NW Unr solid HERME 553 C
S1 cc1 212 Clear NW Unr prison TEAPS 723 C
S1 cc1 213 Degraded HF Rel pause STOP 533 C
S1 cc1 214 Clear LF Unr sailor HIDE 511 C
S1 cc1 215 Clear NW Unr knob REET 921 C
S1 cc1 216 Degraded NW Unr skinny JOAD 564 C
S1 cc1 217 Clear HF Rel meadow GRASS 477 C
S1 cc1 218 Clear LF Rel skip JUMP 567 C
S1 cc1 219 Clear NW Unr foot DORNER 496 C
S1 cc1 220 Clear NW Unr garlic TOOMS 492 C
S1 cc1 221 Clear NW Unr protect MIAL 775 E
S1 cc1 222 Degraded NW Unr chalk DOLFIN 750 C
S1 cc1 223 Degraded HF Unr reality DARK 543 C
S1 cc1 224 Degraded HF Rel cork WINE 553 C
S1 cc1 225 Degraded NW Unr slither SOOFS 786 C
S1 cc1 226 Clear NW Unr value PREHOIN 497 C
S1 cc1 227 Degraded LF Rel fury ANGER 669 C
S1 cc1 228 Clear NW Unr throat BIRES 657 C
S1 cc1 229 Degraded NW Unr perfume MEROT 662 C
S1 cc1 230 Clear HF Rel examine STUDY 442 C
S1 cc1 231 Degraded LF Unr spider COWBOY 487 C
S1 cc1 232 Degraded HF Unr costume HELP 675 C
S1 cc1 233 Clear LF Rel polite NICE 455 C
S1 cc1 234 Clear NW Unr stub TILKER 388 C
S1 cc1 235 Clear NW Unr find HEAN 660 C
S1 cc1 236 Clear LF Rel rinse WASH 488 C
S1 cc1 237 Degraded HF Rel stem PLANT 628 C
S1 cc1 238 Clear NW Unr magic SUBDOOP 490 C
S1 cc1 239 Degraded HF Rel strand HAIR 597 C
S1 cc1 240 Clear LF Unr referee TUNE 653 C
S1 cc1 241 Degraded NW Unr site RISHED 722 E
S1 cc1 242 Degraded NW Unr rabbit FLEEPED 699 C
S1 cc1 243 Clear HF Rel much MORE 575 C
S1 cc1 244 Degraded NW Unr price DATHE 679 C
S1 cc1 245 Clear NW Unr tall FOOR 475 E
S1 cc1 246 Clear LF Rel stuck GLUE 510 C
S1 cc1 247 Clear LF Unr stomach RUBBER 505 C
S1 cc1 248 Degraded LF Rel robe BATH 501 E
S1 cc1 249 Degraded HF Unr just ANSWER 663 C
S1 cc1 250 Degraded NW Unr abuse CAID 700 C
S1 cc1 251 Degraded NW Unr onion POAT 559 E
S1 cc1 252 Degraded NW Unr coke SELP 703 C
S1 cc1 253 Degraded NW Unr nest REJONG 1011 C
S1 cc1 254 Degraded LF Rel carrots BUNNY 586 C
S1 cc1 255 Clear HF Rel granite STONE 466 C
S1 cc1 256 Clear NW Unr alive GOORCH 542 C
S1 cc1 257 Degraded LF Rel toaster OVEN 488 C
S1 cc1 258 Clear HF Rel fair RIDE 531 C
S1 cc1 259 Clear NW Unr seek VORD 557 C
S1 cc1 260 Clear LF Unr outlaw INSECT 502 C
S1 cc1 261 Clear NW Unr plate AJURD 497 C
S1 cc1 262 Degraded LF Unr wedding WEIGHT 556 C
S1 cc1 263 Degraded NW Unr phase VADES 502 C
S1 cc1 264 Clear NW Unr sharp VABY 513 C
S1 cc1 265 Degraded HF Rel pity SORRY 731 C
S1 cc1 266 Clear NW Unr college NERM 829 C
S1 cc1 267 Clear NW Unr part DIAKOME 523 C
S1 cc1 268 Degraded NW Unr span NIRT 597 C
S1 cc1 269 Clear LF Rel plead GUILTY 492 C
S1 cc1 270 Clear NW Unr bacon ROFT 632 C
S1 cc1 271 Degraded LF Rel crops CORN 559 C
S1 cc1 272 Degraded NW Unr star NADER 503 C
S1 cc1 273 Degraded LF Rel croak FROG 561 C
S1 cc1 274 Clear NW Unr write GINED 570 C
S1 cc1 275 Degraded NW Unr grizzly PRALE 707 C
S1 cc1 276 Clear LF Rel subtle HINT 533 C
S1 cc1 277 Degraded LF Rel scary FRIGHT 670 C
S1 cc1 278 Clear HF Unr yawn BLUE 467 C
S1 cc1 279 Clear NW Unr pool JASHES 496 C
S1 cc1 280 Degraded NW Unr sketch FANTOM 587 C
S1 cc1 281 Degraded NW Unr funny HIFT 579 C
S1 cc1 282 Clear NW Unr fingers FOKEL 555 C
S1 cc1 283 Degraded LF Rel trench COAT 628 C
S1 cc1 284 Degraded NW Unr tooth MUELED 746 C
S1 cc1 285 Clear NW Unr dress MUCTS 826 C
S1 cc1 286 Degraded LF Rel hail STORM 521 C
S1 cc1 287 Clear NW Unr clove JAMPER 659 C
S1 cc1 288 Degraded NW Unr lion NEEPS 823 C
S1 cc1 289 Degraded HF Unr loop MIND 593 C
S1 cc1 290 Degraded LF Unr curse KING 648 C
S1 cc1 291 Clear NW Unr saltine PROGOLLS 605 C
S1 cc1 292 Clear NW Unr kill VIRD 580 C
S1 cc1 293 Clear NW Unr pain LIPER 460 C
S1 cc1 294 Degraded NW Unr finish UNCHIM 536 C
S1 cc1 295 Degraded NW Unr clam GLIM 514 C
S1 cc1 296 Clear LF Rel mints CANDY 461 C
S1 cc1 297 Degraded LF Rel oval ROUND 570 E
S1 cc1 298 Clear NW Unr fangs ROOR 521 E
S1 cc1 299 Degraded HF Rel some MANY 684 C
S1 cc1 300 Degraded NW Unr push BIAL 656 C
S1 cc1 301 Clear LF Unr prime JUICE 516 C
S1 cc1 302 Degraded NW Unr village SAMP 719 C
S1 cc1 303 Degraded NW Unr piece SUBVURD 609 C
S1 cc1 304 Degraded NW Unr violet ABDESS 664 C
S1 cc1 305 Degraded NW Unr atom KOOPER 588 C
S1 cc1 306 Clear NW Unr blouse DEST 644 E
S1 cc1 307 Degraded NW Unr dislike TORM 785 C
S1 cc1 308 Degraded LF Unr prune RIBS 672 C
S1 cc1 309 Clear NW Unr quart TRANSVEEM 789 C
S1 cc1 310 Clear NW Unr past PROLEEL 614 C
S1 cc1 311 Clear HF Rel ideal BEST 428 C
S1 cc1 312 Clear NW Unr gift PAME 729 C
S1 cc1 313 Clear HF Rel gate OPEN 523 C
S1 cc1 314 Clear LF Unr stake PURPLE 613 C
S1 cc1 315 Clear HF Unr south REASON 572 C
S1 cc1 316 Clear LF Unr tuna CHEAT 835 C
S1 cc1 317 Degraded NW Unr munch NOOPS 466 C
S1 cc1 318 Clear NW Unr giggle JAINS 879 C
S1 cc1 319 Clear LF Unr walrus SCENT 491 C
S1 cc1 320 Clear HF Unr gravity ENGINE 645 C
S1 cc1 321 Clear NW Unr cure WELME 603 C
S1 cc1 322 Degraded NW Unr receive TRIVEEF 546 C
S1 cc1 323 Degraded NW Unr lonely TODELL 523 C
S1 cc1 324 Degraded HF Rel bench SEAT 484 C
S1 cc1 325 Clear HF Rel pour LIQUID 528 C
S1 cc1 326 Degraded NW Unr stage DOAF 586 C
S1 cc1 327 Clear LF Rel team SPORT 466 C
S1 cc1 328 Degraded HF Unr core ALONE 558 C
S1 cc1 329 Clear NW Unr human GRUMS 630 C
S1 cc1 330 Clear HF Unr pilot SCHOOL 509 C
S1 cc1 331 Clear NW Unr game OVERJAGE 599 C
S1 cc1 332 Clear NW Unr used ANTIPOLD 462 C
S1 cc1 333 Degraded HF Unr cigar NIGHT 506 C
S1 cc1 334 Degraded NW Unr sleep DORTER 566 C
S1 cc1 335 Clear NW Unr drink DEHIET 462 C
S1 cc1 336 Clear HF Unr simple CIRCLE 490 C
S1 cc1 337 Degraded LF Rel omelet EGGS 575 C
S1 cc1 338 Degraded LF Unr grove FRUIT 520 C
S1 cc1 339 Clear NW Unr shape ABLERM 467 C
S1 cc1 340 Degraded NW Unr baby GIREN 559 C
S1 cc1 341 Clear LF Unr cliff PUPPY 664 C
S1 cc1 342 Clear HF Rel report TELL 492 C
S1 cc1 343 Clear LF Rel noisy LOUD 392 C
S1 cc1 344 Degraded LF Rel rail TRAIN 535 C
S1 cc1 345 Clear LF Rel squeak MOUSE 385 C
S1 cc1 346 Degraded HF Unr steam EARTH 465 C
S1 cc1 347 Clear NW Unr ease EXVAIM 430 C
S1 cc1 348 Degraded NW Unr virtue WOINS 428 C
S1 cc1 349 Degraded LF Unr melody SOCCER 633 C
S1 cc1 350 Degraded LF Rel bunch BANANA 527 C
S1 cc1 351 Degraded NW Unr east NACE 426 E
S1 cc1 352 Degraded LF Unr mussel BREAD 703 C
S1 cc1 353 Clear HF Unr broken PLAY 483 C
S1 cc1 354 Degraded HF Rel logic THINK 462 C
S1 cc1 355 Degraded HF Unr jeans TIRED 507 C
S1 cc1 356 Degraded HF Unr compass STREET 486 C
S1 cc1 357 Clear NW Unr fishing TELD 754 C
S1 cc1 358 Degraded NW Unr cash VOLKEL 579 C
S1 cc1 359 Clear NW Unr step PAFTER 492 C
S1 cc1 360 Clear HF Rel handle CARE 518 C
S1 cc1 361 Degraded NW Unr measure PRENITY 705 C
S1 cc1 362 Clear LF Rel quail DUCK 516 C
S1 cc1 363 Degraded NW Unr whiskey FASHIN 607 E
S1 cc1 364 Clear NW Unr tale BRIPED 621 C
S1 cc1 365 Degraded NW Unr sing NAMPED 532 C
S1 cc1 366 Clear NW Unr flask SEMINART 446 C
S1 cc1 367 Clear NW Unr ghost WOATER 459 C
S1 cc1 368 Clear LF Rel pickle SOUR 471 C
S1 cc1 369 Degraded LF Rel barrier REEF 660 C
S1 cc1 370 Clear LF Unr scar MATH 616 C
S1 cc1 371 Clear NW Unr harsh OVERWEEF 399 C
S1 cc1 372 Degraded LF Unr ounce TIGER 557 C
S1 cc1 373 Clear LF Unr haunt PUSH 726 C
S1 cc1 374 Degraded NW Unr muffin VEEP 600 C
S1 cc1 375 Degraded NW Unr last DIATOOF 512 C
S1 cc1 376 Clear NW Unr future REGEEP 473 C
S1 cc1 377 Clear HF Rel choice PICK 549 C
S1 cc1 378 Degraded NW Unr neck FELD 591 E
S1 cc1 379 Clear NW Unr worn NEEK 526 C
S1 cc1 380 Clear NW Unr golf PROMELP 455 C
S1 cc1 381 Clear HF Rel free COST 452 C
S1 cc1 382 Clear HF Unr shadow LIFE 466 C
S1 cc1 383 Clear HF Rel side FRONT 446 C
S1 cc1 384 Clear LF Rel dungeon JAIL 475 C
S1 cc1 385 Degraded NW Unr casket DISWOUL 597 C
S1 cc1 386 Clear LF Rel daring BRAVE 588 C
S1 cc1 387 Clear HF Unr late SMOKE 420 C
S1 cc1 388 Clear LF Unr sword MELT 547 C
S1 cc1 389 Clear NW Unr ivory PIDER 411 C
S1 cc1 390 Clear HF Rel outcome FINAL 538 C
S1 cc1 391 Clear NW Unr time ROLK 596 C
S1 cc1 392 Degraded NW Unr trace MIPER 539 C
S1 cc1 393 Clear LF Unr attack FLOWER 420 C
S1 cc1 394 Clear HF Unr alley POINT 579 C
S1 cc1 395 Degraded HF Unr smash FINGER 539 C
S1 cc1 396 Degraded NW Unr drunk STAPEL 581 C
S1 cc1 397 Clear NW Unr person VIND 956 C
S1 cc1 398 Degraded NW Unr brandy TRANSHORD 565 C
S1 cc1 399 Clear NW Unr sight JIOT 446 C
S1 cc1 400 Clear LF Rel snail SLIMY 747 C
S1 cc1 401 Degraded NW Unr meeting SEEF 1051 C
S1 cc1 402 Clear HF Rel justice PEACE 465 C
S1 cc1 403 Degraded NW Unr sheep PURD 606 C
S1 cc1 404 Degraded LF Unr liar FISH 565 C
S1 cc1 405 Clear LF Rel awkward WEIRD 477 C
S1 cc1 406 Clear LF Rel fray TEAR 521 C
S1 cc1 407 Degraded NW Unr proper DEBIRT 563 C
S1 cc1 408 Degraded LF Rel offend HURT 540 C
S1 cc1 409 Degraded HF Unr tractor READ 452 C
S1 cc1 410 Clear NW Unr song VEATH 514 C
S1 cc1 411 Clear LF Unr foolish SHINE 556 C
S1 cc1 412 Clear HF Rel plow FIELD 437 C
S1 cc1 413 Clear NW Unr stand HITY 578 C
S1 cc1 414 Clear NW Unr skirt REBINT 474 C
S1 cc1 415 Clear LF Unr thimble BREAK 502 C
S1 cc1 416 Degraded LF Unr foam ACHE 546 C
S1 cc1 417 Clear HF Rel through DONE 507 C
S1 cc1 418 Clear NW Unr closet LOMED 677 C
S1 cc1 419 Degraded NW Unr horror HISHES 921 C
S1 cc1 420 Clear HF Unr hike HAND 548 C
S1 cc1 421 Degraded HF Rel lodge HOTEL 524 C
S1 cc1 422 Degraded HF Unr spirit PLANE 438 C
S1 cc1 423 Degraded NW Unr early UNJEED 516 E
